album_id,artist_id,title,release_date,album_type,total_tracks,duration_seconds,cover_image_url
1,1,Winter Tales (1),1981-09-19,EP,7,1701,https://covers.example.com/album_1.jpg
2,1,Rock Anthems (2),2022-04-30,album,12,2532,https://covers.example.com/album_2.jpg
3,1,Alternative Reality (3),2019-09-09,compilation,12,2268,https://covers.example.com/album_3.jpg
4,1,Grunge Days (4),2018-06-09,single,2,466,https://covers.example.com/album_4.jpg
5,1,Party Time (5),2009-07-09,compilation,11,2827,https://covers.example.com/album_5.jpg
6,1,Revolution (6),2009-12-26,album,13,3003,https://covers.example.com/album_6.jpg
7,2,Urban Poetry (7),1987-07-12,album,16,3520,https://covers.example.com/album_7.jpg
8,2,Summer Vibes (8),2001-12-30,compilation,9,2133,https://covers.example.com/album_8.jpg
9,2,Summer Vibes (9),1982-07-17,EP,4,868,https://covers.example.com/album_9.jpg
10,3,Serenity (10),2013-08-01,compilation,11,3124,https://covers.example.com/album_10.jpg
11,3,Journey Home (11),2013-07-29,album,11,2673,https://covers.example.com/album_11.jpg
12,3,Club Nights (12),2016-12-02,compilation,15,3645,https://covers.example.com/album_12.jpg
13,3,Electric Sunset (13),2021-05-03,single,4,952,https://covers.example.com/album_13.jpg
14,3,Summer Vibes (14),2011-02-03,EP,6,1116,https://covers.example.com/album_14.jpg
15,4,Dance Floor (15),2020-01-14,compilation,12,2172,https://covers.example.com/album_15.jpg
16,4,Chapter Two (16),2013-12-06,compilation,10,2730,https://covers.example.com/album_16.jpg
17,4,Homecoming (17),2009-01-05,compilation,13,3003,https://covers.example.com/album_17.jpg
18,4,Live at Madison (18),2020-05-29,EP,6,1296,https://covers.example.com/album_18.jpg
19,5,Departure (19),1996-02-04,compilation,16,4560,https://covers.example.com/album_19.jpg
20,5,Serenity (20),1979-09-04,single,2,460,https://covers.example.com/album_20.jpg
21,6,Road Trip (21),1979-11-10,album,10,2570,https://covers.example.com/album_21.jpg
22,6,Club Nights (22),1965-08-12,compilation,16,2960,https://covers.example.com/album_22.jpg
23,6,Acoustic Sessions (23),2004-07-02,EP,6,1476,https://covers.example.com/album_23.jpg
24,6,Desire (24),1991-06-04,EP,5,1495,https://covers.example.com/album_24.jpg
25,7,Journey Home (25),2016-06-03,EP,7,1785,https://covers.example.com/album_25.jpg
26,7,Road Trip (26),2024-04-20,compilation,12,3408,https://covers.example.com/album_26.jpg
27,7,Electric Sunset (27),2007-12-01,album,13,3029,https://covers.example.com/album_27.jpg
28,7,Meditation (28),2024-04-15,album,8,1704,https://covers.example.com/album_28.jpg
29,7,Metal Mayhem (29),2024-07-20,EP,4,804,https://covers.example.com/album_29.jpg
30,7,Festival (30),2013-11-12,compilation,10,1840,https://covers.example.com/album_30.jpg
31,8,Grunge Days (31),1980-09-12,single,2,472,https://covers.example.com/album_31.jpg
32,8,Journey Home (32),2016-01-18,compilation,10,2680,https://covers.example.com/album_32.jpg
33,8,Light (33),2021-04-23,compilation,16,4656,https://covers.example.com/album_33.jpg
34,8,Street Life (34),2025-07-14,single,2,412,https://covers.example.com/album_34.jpg
35,8,Quiet Moments (35),2012-10-21,album,15,3300,https://covers.example.com/album_35.jpg
36,8,Reflections (36),2009-09-17,compilation,16,3984,https://covers.example.com/album_36.jpg
37,9,Alternative Reality (37),1981-04-01,album,15,3165,https://covers.example.com/album_37.jpg
38,9,Autumn Leaves (38),1990-09-13,album,11,3058,https://covers.example.com/album_38.jpg
39,9,Spring Awakening (39),1992-06-10,EP,7,1687,https://covers.example.com/album_39.jpg
40,9,Wanderlust (40),1974-12-07,album,12,3036,https://covers.example.com/album_40.jpg
41,10,Departure (41),2025-05-03,compilation,13,3666,https://covers.example.com/album_41.jpg
42,10,Revolution (42),2014-06-14,album,8,2168,https://covers.example.com/album_42.jpg
43,10,The Beginning (43),2022-09-17,album,15,3180,https://covers.example.com/album_43.jpg
44,10,Street Life (44),2012-07-13,compilation,11,3135,https://covers.example.com/album_44.jpg
45,10,Celebration (45),2023-08-13,album,16,3424,https://covers.example.com/album_45.jpg
46,10,Evolution (46),2013-06-09,single,2,372,https://covers.example.com/album_46.jpg
47,11,Darkness (47),1989-12-28,EP,4,928,https://covers.example.com/album_47.jpg
